Legislation Number,URL,Congress,Title,Sponsor,Party of Sponsor,Date of Introduction,Latest Action,Latest Action Date,Latest Summary,Amendment Text (Latest)
H.R. 1318,https://www.congress.gov/bill/117th-congress/house-bill/1318,117th Congress (2021-2022),Alaska Tourism Restoration Act,"Young, Don [Rep.-R-AK-At Large]",Republican,02/24/2021,Became Public Law No: 117-14.,05/24/2021,"<p><strong>Alaska Tourism Restoration Act </strong></p> <p>This bill temporarily allows specific foreign-owned and foreign-flagged cruise ships to transport passengers directly between ports in the states of Washington and Alaska without stopping in Canada. Under current law, these ships cannot transport passengers from one U.S. port to another without stopping in a foreign country. </p> <p>The bill deems a round trip voyage between ports in the states of Washington and Alaska as a foreign voyage if (1) during the voyage, the operators of such voyage send U.S. Customs and Border Protection and the Canada Border Services Agency an email containing the names of each alien crew member with a valid nonimmigrant work visa; and (2) the voyage begins not later than February 28, 2022. The operators of these voyages must also retain a COVID-19 Conditional Sailing Certificate from the Centers for Disease Control and Prevention (CDC) and operate in accordance with CDC restrictions associated with the certificate.</p> <p>Authority to conduct these voyages shall terminate on March 31, 2022, or when Canada lifts its COVID-related restrictions, whichever occurs first. Voyages may not occur during any period for which the CDC has issued an order to suspend cruise ship operations.</p> <p>The bill also directs the Department of Transportation to require, through regulations, the installation of automated external defibrillators on passenger vessels (including cruise ships), among other requirements.</p>",
H.R. 1298,https://www.congress.gov/bill/117th-congress/house-bill/1298,117th Congress (2021-2022),"To designate the facility of the United States Postal Service located at 1233 North Cedar Street in Owasso, Oklahoma, as the ""Technical Sergeant Marshal Roberts Post Office Building"".","Hern, Kevin [Rep.-R-OK-1]",Republican,02/24/2021,Became Public Law No: 117-143.,06/16/2022,"<p>This bill designates the facility of the United States Postal Service located at 1233 North Cedar Street in Owasso, Oklahoma, as the Technical Sergeant Marshal Roberts Post Office Building.</p>",
H.R. 1281,https://www.congress.gov/bill/117th-congress/house-bill/1281,117th Congress (2021-2022),"To name the Department of Veterans Affairs community-based outpatient clinic in Gaylord, Michigan, as the Navy Corpsman Steve Andrews Department of Veterans Affairs Health Care Clinic.","Bergman, Jack [Rep.-R-MI-1]",Republican,02/24/2021,Became Public Law No: 117-89.,02/23/2022," <p>This bill designates the community-based outpatient clinic of the Department of Veterans Affairs in Gaylord, Michigan, as the Navy Corpsman Steve Andrews Department of Veterans Affairs Health Care Clinic.</p>",
H.R. 1276,https://www.congress.gov/bill/117th-congress/house-bill/1276,117th Congress (2021-2022),Strengthening and Amplifying Vaccination Efforts to Locally Immunize All Veterans and Every Spouse Act,"Takano, Mark [Rep.-D-CA-41]",Democratic,02/24/2021,Became Public Law No: 117-4.,03/24/2021,"<p><b>Strengthening and Amplifying Vaccination Efforts to Locally Immunize All Veterans and Every Spouse Act or the SAVE LIVES Act</b></p> <p>This bill authorizes the Department of Veterans Affairs (VA) to furnish a COVID-19 (i.e., coronavirus disease 2019) vaccine to covered individuals during the COVID-19 public health emergency. </p> <p>Under the bill, covered individuals are</p> <ul> <li>veterans who are not eligible to enroll in the VA health care system;</li> <li>specified veterans who are eligible for hospital care, medical services, and nursing home care abroad;</li> <li>beneficiaries who are eligible for care due to a specified disability or death of a veteran;</li> <li>family caregivers of veterans who are participating in the VA's Program of Comprehensive Assistance for Family Caregivers;</li> <li>caregivers of veterans participating in the VA's Program of General Caregiver Support Services;</li> <li>caregivers of veterans participating in the VA's Medical Foster Home Program, Bowel and Bladder Program, Home Based Primary Care Program, or Veteran Directed Care Program; and</li> <li>the spouses of veterans.</li> </ul> <p>The VA must prioritize the vaccination of (1) veterans who are enrolled in the VA health care system, (2) veterans who fail to enroll but receive hospital care and medical services for specified disabilities in their first 12 months of separation from service, and (3) caregivers accompanying such prioritized veterans. </p> <p>Under the bill, the VA is authorized to determine the timing for offering a vaccine to the spouse of a veteran.</p>",
H.R. 1193,https://www.congress.gov/bill/117th-congress/house-bill/1193,117th Congress (2021-2022),Cardiovascular Advances in Research and Opportunities Legacy Act,"Barr, Andy [Rep.-R-KY-6]",Republican,02/22/2021,Became Public Law No: 117-244.,12/20/2022," <p><b>Cardiovascular Advances in Research and Opportunities Legacy Act</b></p> <p>This act addresses research, education, and awareness concerning valvular heart disease and its treatment. This disease is caused by damage to or disease affecting any valve that controls blood flow in the heart.</p> <p>The National Institutes of Health may conduct or support research on the disease in consultation with the National Heart, Lung, and Blood Institute (NHLBI). The NHLBI must also conduct a workshop on mitral valve prolapse, which occurs when the valve between the chambers of the left side of the heart seals improperly.</p> <p>The Department of Health and Human Services (HHS) must develop best practices to treat valvular heart disease. HHS may also carry out other projects to increase education and awareness of the disease.</p>",
H.R. 1192,https://www.congress.gov/bill/117th-congress/house-bill/1192,117th Congress (2021-2022),PRRADA,"Velazquez, Nydia M. [Rep.-D-NY-7]",Democratic,02/22/2021,Became Public Law No: 117-82.,01/20/2022,"<p><b>Puerto Rico Recovery Accuracy in Disclosures Act of 2021 or PRRADA</b></p> <p>This bill requires professionals employed in debt adjustment cases involving Puerto Rico to file verified statements disclosing their connections with interested parties before seeking compensation for their services. </p> <p>The Financial Oversight and Management Board for Puerto Rico must establish a list of such interested parties, which shall include the debtor, creditors, any attorney or accountant of the debtor or creditors, persons employed by the U.S. Trustee Program, persons employed by the board, and any other interested party. </p> <p>Compensation may be denied to such a professional if these disclosures are not filed, are inadequate, or if the professional is found to have certain conflicts of interest.",
H.R. 1170,https://www.congress.gov/bill/117th-congress/house-bill/1170,117th Congress (2021-2022),"To designate the facility of the United States Postal Service located at 1 League in Irvine, California, as the ""Tuskegee Airman Lieutenant Colonel Robert J. Friend Memorial Post Office Building"".","Porter, Katie [Rep.-D-CA-45]",Democratic,02/18/2021,Became Public Law No: 117-152.,06/23/2022,"<p>This bill designates the facility of the United States Postal Service located at 1 League in Irvine, California, as the Tuskegee Airman Lieutenant Colonel Robert J. Friend Memorial Post Office Building.</p>",
H.R. 1154,https://www.congress.gov/bill/117th-congress/house-bill/1154,117th Congress (2021-2022),Great Dismal Swamp National Heritage Area Act,"McEachin, A. Donald [Rep.-D-VA-4]",Democratic,02/18/2021,Became Public Law No: 117-331.,01/05/2023,"<p><b>Great Dismal Swamp National Heritage Area Act</b></p> <p>This act directs the Department of the Interior to assess the suitability and feasibility of designating a study area comprised of cities and counties in Virginia and counties in North Carolina as a National Heritage Area to be known as the Great Dismal Swamp National Heritage Area.</p> <p>The study shall include analysis, documentation, and determinations on whether the study area (1) has an assemblage of natural, historic, and cultural resources that represent distinctive aspects of the people and culture of the United States; and (2) are worthy of recognition, conservation, interpretation, and continuing use.</p>",
H.R. 1095,https://www.congress.gov/bill/117th-congress/house-bill/1095,117th Congress (2021-2022),"To designate the facility of the United States Postal Service located at 101 South Willowbrook Avenue in Compton, California, as the ""PFC James Anderson, Jr., Post Office Building"".","Barragan, Nanette Diaz [Rep.-D-CA-44]",Democratic,02/18/2021,Became Public Law No: 117-268.,12/27/2022,"<p>This act designates the facility of the United States Postal Service located at 101 South Willowbrook Avenue in Compton, California, as the PFC James Anderson, Jr., Post Office Building.</p>",
H.R. 1082,https://www.congress.gov/bill/117th-congress/house-bill/1082,117th Congress (2021-2022),Sami's Law,"Smith, Christopher H. [Rep.-R-NJ-4]",Republican,02/15/2021,Became Public Law No: 117-330.,01/05/2023,"<p><b>Sami's Law</b></p> <p>This act addresses safety requirements for passengers and drivers of ride-sharing companies (e.g., Uber, Lyft, or taxicabs).</p> <p>The act requires the Government Accountability Office to submit to Congress a biennial report that includes the results of a study regarding (1) the incidence of fatal and non-fatal physical assault and sexual assault in the preceding two calendar years on drivers by passengers of ride-sharing vehicles and on passengers by drivers of such vehicles, (2) the nature and specifics of any background checks conducted on prospective drivers of ride-sharing vehicles, and (3) the safety steps taken by ride-sharing companies related to rider and driver safety.</p>",
H.R. 1057,https://www.congress.gov/bill/117th-congress/house-bill/1057,117th Congress (2021-2022),Greatest Generation Commemorative Coin Act,"Kaptur, Marcy [Rep.-D-OH-9]",Democratic,02/15/2021,Became Public Law No: 117-162.,08/03/2022,"<p><b>National World War II Memorial Commemorative Coin Act </b></p> <p>This bill directs the Department of the Treasury to mint and issue up to&nbsp;50,000 $5 coins, 400,000 $1 silver coins, and 750,000 half-dollar clad coins in commemoration of the National World War II Memorial in the District of Columbia. </p> <p>The design of the coins shall be emblematic of the memorial and the service and sacrifice of American soldiers and civilians during World War II.</p> <p>All surcharges received from the sale of such coins shall be paid to the Friends of the National World War II Memorial to support the National Park Service in maintaining and repairing the memorial, and for educational and commemorative programs. </p>",
H.R. 1002,https://www.congress.gov/bill/117th-congress/house-bill/1002,117th Congress (2021-2022),DEBAR Act of 2021,"Latta, Robert E. [Rep.-R-OH-5]",Republican,02/11/2021,Became Public Law No: 117-36.,08/06/2021,"<p><b>Debarment Enforcement of Bad Actor Registrants Act of 2021 or the DEBAR Act of 2021</b> </p> <p>This bill authorizes the Drug Enforcement Administration (DEA) to bar an entity from registering to manufacture, distribute, or dispense controlled substances under certain circumstances. </p> <p>Specifically, the DEA may bar&#8212;temporarily or permanently&#8212;the registration of an entity that (1) meets or has met any condition for suspension or revocation of the registration, and (2) has a history of prior suspensions or revocations.</p>",
H.R. 960,https://www.congress.gov/bill/117th-congress/house-bill/960,117th Congress (2021-2022),"To designate the facility of the United States Postal Service located at 3493 Burnet Avenue in Cincinnati, Ohio, as the John H. Leahr and Herbert M. Heilbrun Post Office.","Wenstrup, Brad R. [Rep.-R-OH-2]",Republican,02/08/2021,Became Public Law No: 117-93.,03/11/2022,"<p>This bill designates the facility of the United States Postal Service located at 3493 Burnet Avenue in Cincinnati, Ohio, as the John H. Leahr and Herbert M. Heilbrun Post Office. </p>",
H.R. 941,https://www.congress.gov/bill/117th-congress/house-bill/941,117th Congress (2021-2022),TRANSPLANT Act of 2021,"Matsui, Doris O. [Rep.-D-CA-6]",Democratic,02/08/2021,Became Public Law No: 117-15.,05/26/2021,"<p><b>Timely ReAuthorization of Necessary Stem-cell Programs Lends Access to Needed Therapies Act of 2021 or the TRANSPLANT Act of 2021</b></p> <p>This bill modifies and reauthorizes through FY2026 the C.W. Bill Young Cell Transplantation Program, which provides support to patients who need a potentially life-saving bone marrow transplant or umbilical cord blood transplant.</p> <p>The bill also requires the Department of Health and Human Services to conduct a periodic review of the science of using adult stem cells and birthing tissues in therapeutic treatments.</p> <p>In addition, the Government Accountability Office must report on the regenerative medicine workforce.</p>",
H.R. 897,https://www.congress.gov/bill/117th-congress/house-bill/897,117th Congress (2021-2022),Agua Caliente Land Exchange Fee to Trust Confirmation Act,"Ruiz, Raul [Rep.-D-CA-36]",Democratic,02/05/2021,Became Public Law No: 117-329.,01/05/2023,"<p><b>Agua Caliente Land Exchange Fee to Trust Confirmation Act</b></p> <p>This act takes approximately 2,560 acres of specified lands in California into trust for the benefit of the Agua Caliente Band of Cahuilla Indians. Lands taken into trust shall be part of the tribe's reservation.</p> <p>Further, the act prohibits gaming on the land taken into trust.</p>",
H.R. 785,https://www.congress.gov/bill/117th-congress/house-bill/785,117th Congress (2021-2022),"For the relief of Maria Isabel Bueso Barrera, Alberto Bueso Mendoza, and Karla Maria Barrera De Bueso.","DeSaulnier, Mark [Rep.-D-CA-11]",Democratic,02/03/2021,Became Private Law No: 117-2.,12/27/2022," <p>This bill provides for the relief of Maria Isabel Bueso Barrera, Alberto Bueso Mendoza, and Karla Maria Barrera De Bueso. </p>",
H.R. 772,https://www.congress.gov/bill/117th-congress/house-bill/772,117th Congress (2021-2022),"To designate the facility of the United States Postal Service located at 229 Minnetonka Avenue South in Wayzata, Minnesota, as the Jim Ramstad Post Office.","Phillips, Dean [Rep.-D-MN-3]",Democratic,02/03/2021,Became Public Law No: 117-35.,08/06/2021,"<p>Designates the facility of the United States Postal Service located at 229 Minnetonka Avenue South in Wayzata, Minnesota, as the Jim Ramstad Post Office.</p>",
H.R. 767,https://www.congress.gov/bill/117th-congress/house-bill/767,117th Congress (2021-2022),"To designate the facility of the United States Postal Service located at 40 Fulton Street in Middletown, New York, as the ""Benjamin A. Gilman Post Office Building"".","Maloney, Sean Patrick [Rep.-D-NY-18]",Democratic,02/03/2021,Became Public Law No: 117-156.,06/24/2022,"<p>This bill designates the facility of the United States Postal Service located at 40 Fulton Street in Middletown, New York, as the Benjamin A. Gilman Post Office Building.</p>",
H.R. 735,https://www.congress.gov/bill/117th-congress/house-bill/735,117th Congress (2021-2022),"To designate the facility of the United States Postal Service located at 502 East Cotati Avenue in Cotati, California, as the ""Arturo L. Ibleto Post Office Building"".","Thompson, Mike [Rep.-D-CA-5]",Democratic,02/02/2021,Became Public Law No: 117-155.,06/24/2022,"<p>This bill designates the facility of the United States Postal Service located at 502 East Cotati Avenue in Cotati, California, as the Arturo L. Ibleto Post Office Building.</p>",
H.R. 711,https://www.congress.gov/bill/117th-congress/house-bill/711,117th Congress (2021-2022),West Los Angeles VA Campus Improvement Act of 2021,"Lieu, Ted [Rep.-D-CA-33]",Democratic,02/02/2021,Became Public Law No: 117-18.,06/23/2021,"<p><b>West Los Angeles VA Campus Improvement Act of 2021</b></p> <p>This bill requires that land use revenues received by the Department of Veterans Affairs (VA) in connection with the use of certain leases or third-party land use at the VA's West Los Angeles Campus in Los Angeles, California, be used exclusively for specified purposes on campus.</p> <p>The bill prescribes that such revenues be used exclusively for</p> <ul> <li>the renovation and maintenance of the land and facilities at the campus;</li> <li>supporting construction, maintenance, and services at the campus relating to temporary or permanent supportive housing for homeless or at-risk veterans and their families;</li> <li>implementing minor construction projects at the campus; or</li> <li>implementing community operations at the campus that support the development of emergency shelter or supportive housing for homeless or at-risk veterans and their families.</li> </ul> <p>The bill also increases the maximum time period for enhanced-use leases at the campus from 75 to 99 years.</p> <p>Additionally, the bill requires the VA to include in its annual report evaluating leases and land-sharing agreements on campus an assessment of (1) the manner in which revenue generated by the leases is expended, and (2) the direct benefits the expenditures provide to veterans. </p>",
H.R. 700,https://www.congress.gov/bill/117th-congress/house-bill/700,117th Congress (2021-2022),"To designate the facility of the United States Postal Service located at 303 East Mississippi Avenue in Elwood, Illinois, as the ""Lawrence M. 'Larry' Walsh Sr. Post Office"".","Foster, Bill [Rep.-D-IL-11]",Democratic,02/02/2021,Became Public Law No: 117-231.,12/19/2022,"<p>This act designates the facility of the United States Postal Service located at 303 East Mississippi Avenue in Elwood, Illinois, as the Lawrence M. &quot;Larry&quot; Walsh Sr. Post Office.</p>",
H.R. 681,https://www.congress.gov/bill/117th-congress/house-bill/681,117th Congress (2021-2022),For the relief of Rebecca Trimble.,"Young, Don [Rep.-R-AK-At Large]",Republican,02/01/2021,Became Private Law No: 117-1.,12/27/2022, <p>This bill provides for the relief of Rebecca Trimble.</p>,
H.R. 680,https://www.congress.gov/bill/117th-congress/house-bill/680,117th Congress (2021-2022),"For the relief of Arpita Kurdekar, Girish Kurdekar, and Vandana Kurdekar.","Kuster, Ann M. [Rep.-D-NH-2]",Democratic,02/01/2021,Became Private Law No: 117-3.,01/05/2023," <p>This bill provides for the relief of Arpita Kurdekar, Girish Kurdekar, and Vandana Kurdekar. </p>",
H.R. 521,https://www.congress.gov/bill/117th-congress/house-bill/521,117th Congress (2021-2022),First Responder Fair RETIRE Act,"Connolly, Gerald E. [Rep.-D-VA-11]",Democratic,01/28/2021,Became Public Law No: 117-225.,12/09/2022,"<p><b>First Responder Fair Return for Employees on Their Initial Retirement Earned Act or the First Responder Fair RETIRE Act</b></p> <p>This act allows disabled federal first responders (e.g., law enforcement officers, customs and border protection officers, and firefighters) to continue receiving federal retirement benefits in the same manner as though they had not been disabled.</p> <p>Under current law, federal first responders are subject to a mandatory retirement age of 57. To facilitate this earlier retirement, federal first responders are required to pay a greater percentage of their salary towards retirement. Additionally, their annuity amount is calculated at a higher rate than other federal employees.</p> <p>This act allows a federal first responder to remain in the accelerated retirement system if they are placed in another civil service position outside of that system after returning to work from a work-related injury or illness. Further, if such an employee is separated from service before they are entitled to receive an annuity, they may receive a refund of their accelerated contributions.</p>",
H.R. 478,https://www.congress.gov/bill/117th-congress/house-bill/478,117th Congress (2021-2022),Blackwater Trading Post Land Transfer Act,"O'Halleran, Tom [Rep.-D-AZ-1]",Democratic,01/25/2021,Became Public Law No: 117-267.,12/27/2022,"<p><b>Blackwater Trading Post Land Transfer Act</b></p> <p>This act directs the Department of the Interior to take the approximately 55.3 acres of land of the Blackwater Trading Post in Pinal County, Arizona, into trust for the benefit of the Gila River Indian Community, if the community conveys to Interior all of its interest in the land. The land is made part of the community's reservation. </p> <p>Further, the act prohibits gaming on the land taken into trust.</p>",
H.R. 468,https://www.congress.gov/bill/117th-congress/house-bill/468,117th Congress (2021-2022),Expedited Delivery of Airport Infrastructure Act of 2021,"Graves, Sam [Rep.-R-MO-6]",Republican,01/25/2021,Became Public Law No: 117-186.,10/10/2022,<p><b>Expedited Delivery of Airport Infrastructure Act of 2021</b></p> <p>This act makes incentive payments incurred for expedited completion of certain federally financed airport development projects an allowable project cost standard.</p>,
H.R. 441,https://www.congress.gov/bill/117th-congress/house-bill/441,117th Congress (2021-2022),Don Young Alaska Native Health Care Land Transfers Act of 2022,"Young, Don [Rep.-R-AK-At Large]",Republican,01/21/2021,Became Public Law No: 117-266.,12/27/2022,"<p><strong>Don Young Alaska Native Health Care Land Transfers Act of 2022</strong></p> <p>This act directs the Department of Health and Human Services (HHS) to convey specified property in Alaska to certain nonprofit entities that support Alaska Native communities.</p> <p>Specifically, HHS must convey specified property in (1) Tanana, Alaska, to the Tanana Tribal Council for use in connection with health and social services programs; (2) Sitka, Alaska, to the Southeast Alaska Regional Health Consortium for use in connection with health and social services programs; and (3) Anchorage, Alaska, to the Alaska Native Tribal Health Consortium for use in connection with health programs. </p> <p>These conveyances shall not require any consideration from, or impose any obligation, term, or condition on, the consortia or council or allow for any U.S. reversionary interest in the property. </p> <p>The consortia or council shall not be liable for any environmental contamination that occurred before these conveyances.</p>",
H.R. 390,https://www.congress.gov/bill/117th-congress/house-bill/390,117th Congress (2021-2022),"To redesignate the Federal building located at 167 North Main Street in Memphis, Tennessee as the ""Odell Horton Federal Building"".","Cohen, Steve [Rep.-D-TN-9]",Democratic,01/21/2021,Became Public Law No: 117-74.,12/21/2021,"<p>This bill designates the federal building at 167 North Main Street in Memphis, Tennessee (commonly known as the Clifford Davis and Odell Horton Federal Building), as the Odell Horton Federal Building.</p>",
H.R. 335,https://www.congress.gov/bill/117th-congress/house-bill/335,117th Congress (2021-2022),To provide for an exception to a limitation against appointment of persons as Secretary of Defense within seven years of relief from active duty as a regular commissioned officer of the Armed Forces.,"Smith, Adam [Rep.-D-WA-9]",Democratic,01/15/2021,Became Public Law No: 117-1.,01/22/2021,"<p>This bill allows the first person nominated and appointed as Secretary of Defense after 12 p.m. (Eastern Standard Time) on January 20, 2021, to be a person who is, on the date of appointment, at least four years after relief from active duty as a commissioned officer of a regular component of the Armed Forces. Under current law, an individual may not be appointed as Secretary of Defense within seven years after relief from such active duty.</p>",
H.R. 310,https://www.congress.gov/bill/117th-congress/house-bill/310,117th Congress (2021-2022),"To posthumously award the Congressional Gold Medal, collectively, to Glen Doherty, Tyrone Woods, J. Christopher Stevens, and Sean Smith, in recognition of their contributions to the Nation.","Lynch, Stephen F. [Rep.-D-MA-8]",Democratic,01/13/2021,Became Public Law No: 117-256.,12/21/2022,"<p>This act directs the Speaker of the House of Representatives and the President pro tempore of the Senate to arrange for the posthumous award of a Congressional Gold Medal to commemorate Glen Doherty, Tyrone Woods, J. Christopher Stevens, and Sean Smith, four Americans killed in the September 11, 2012, attack on the U.S. consulate in Benghazi, Libya. (Stevens was the U.S. Ambassador to Libya at the time, Smith was an&nbsp;officer in the Foreign Service, and&nbsp;Doherty and&nbsp;Woods were both government contractors and former&nbsp;Navy SEALs.) </p> <p>After the medal has been awarded, it shall be given to the Central Intelligence Agency Museum. </p>",
H.R. 264,https://www.congress.gov/bill/117th-congress/house-bill/264,117th Congress (2021-2022),"To designate the facility of the United States Postal Service located at 1101 Charlotte Street in Georgetown, South Carolina, as the ""Joseph Hayne Rainey Memorial Post Office Building"".","Rice, Tom [Rep.-R-SC-7]",Republican,01/11/2021,Became Public Law No: 117-34.,08/06/2021,"<p>Designates the facility of the United States Postal Service located at 1101 Charlotte Street in Georgetown, South Carolina, as the Joseph Hayne Rainey Memorial Post Office Building.</p>",
H.R. 263,https://www.congress.gov/bill/117th-congress/house-bill/263,117th Congress (2021-2022),Big Cat Public Safety Act,"Quigley, Mike [Rep.-D-IL-5]",Democratic,01/11/2021,Became Public Law No: 117-243.,12/20/2022,"<p><b>Big Cat Public Safety Act</b></p> <p>This act revises requirements governing the trade of big cats (i.e., species of lion, tiger, leopard, cheetah, jaguar, or cougar or any hybrid of such species) under the Lacey Act to limit the possession, breeding, and exhibition of big cats. The Lacey Act prohibits any person from importing, exporting, buying, selling, transporting, receiving, or acquiring big cats across state lines or the U.S. border. However, some exemptions are provided for certain entities, such as universities and wildlife sanctuaries.</p> <p>(Sec. 3) The act expands the Lacey Act prohibitions to include a prohibition on possessing or breeding big cats. <i>Breeding</i> means facilitating propagation or reproduction (whether intentionally or negligently), or failing to prevent propagation or reproduction. Owners of big cats that were born before this act's enactment may keep their big cats, but the owners must register them with the U.S. Fish and Wildlife Service.</p> <p>The act modifies the list of entities that are exempt from prohibitions to export, buy, sell, transport, receive, acquire, possess, or breed big cats. The modified list includes exemptions for entities or facilities exhibiting animals to the public if they (1) hold a Class C license in good standing under the Animal Welfare Act, and (2) do not allow individuals to come into direct physical contact with big cats. However, direct contact is allowed if the individual is a trained professional, a veterinarian, or directly supporting conservation programs that do not involve commercial activities and meet other specified restrictions.</p> <p> (Sec. 4) A person who knowingly violates the act must be fined not more than $20,000, or imprisoned for no more than five years, or both. The act considers each violation to be a separate offense. The offense must be deemed to have been committed not only in the district where the violation first occurred, but also in any district in which the defendant may have taken or been in possession of the prohibited wildlife species. </p> <p>(Sec. 5) The act extends forfeiture provisions to fish, wildlife, or plants that are bred or possessed; thus, big cats bred or possessed in violation of the act are subject to forfeiture.</p> <p>(Sec. 6) The Department of the Interior must issue regulations to implement this act.</p>",
H.R. 228,https://www.congress.gov/bill/117th-congress/house-bill/228,117th Congress (2021-2022),"To designate the facility of the United States Postal Service located at 2141 Ferry Street in Anderson, California, as the ""Norma Comnick Post Office Building"".","LaMalfa, Doug [Rep.-R-CA-1]",Republican,01/06/2021,Became Public Law No: 117-230.,12/19/2022,"<p>This act designates the facility of the United States Postal Service located at 2141 Ferry Street in Anderson, California, as the Norma Comnick Post Office Building.</p>",
H.R. 208,https://www.congress.gov/bill/117th-congress/house-bill/208,117th Congress (2021-2022),"To designate the facility of the United States Postal Service located at 500 West Main Street, Suite 102 in Tupelo, Mississippi, as the Colonel Carlyle Smitty Harris Post Office.","Kelly, Trent [Rep.-R-MS-1]",Republican,01/05/2021,Became Public Law No: 117-33.,08/06/2021,"<p>Designates the facility of the United States Postal Service located at 500 West Main Street, Suite 102 in Tupelo, Mississippi, as the Colonel Carlyle &quot;Smitty&quot; Harris Post Office.</p>",
H.R. 203,https://www.congress.gov/bill/117th-congress/house-bill/203,117th Congress (2021-2022),"To designate the facility of the United States Postal Service located at 4020 Broadway Street in Houston, Texas, as the Benny C. Martinez Post Office Building.","Garcia, Sylvia R. [Rep.-D-TX-29]",Democratic,01/05/2021,Became Public Law No: 117-265.,12/27/2022,"<p>This act designates the facility of the United States Postal Service located at 4020 Broadway Street in Houston, Texas, as the Benny C. Martinez Post Office Building.</p>",
H.R. 189,https://www.congress.gov/bill/117th-congress/house-bill/189,117th Congress (2021-2022),John Lewis NIMHD Research Endowment Revitalization Act of 2021,"Barragan, Nanette Diaz [Rep.-D-CA-44]",Democratic,01/05/2021,Became Public Law No: 117-104.,03/18/2022,<p><b>John Lewis NIMHD Research Endowment Revitalization Act of 2021</b></p> <p>This bill expands eligibility for research endowments available through the National Institute on Minority Health and Health Disparities to include former centers of excellence at health professional schools and biomedical and behavioral research institutions that meet criteria related to the inclusion of underrepresented minority individuals in programs and activities.</p>,
H.R. 92,https://www.congress.gov/bill/117th-congress/house-bill/92,117th Congress (2021-2022),"To designate the facility of the United States Postal Service located at 110 Johnson Street in Pickens, South Carolina, as the ""Specialist Four Charles Johnson Post Office"".","Duncan, Jeff [Rep.-R-SC-3]",Republican,01/04/2021,Became Public Law No: 117-194.,10/11/2022,"<p> This bill designates the facility of the United States Postal Service located at 110 Johnson Street in Pickens, South Carolina, as the Specialist Four Charles Johnson Post Office.</p>",
H.R. 91,https://www.congress.gov/bill/117th-congress/house-bill/91,117th Congress (2021-2022),"To designate the facility of the United States Postal Service located at 810 South Pendleton Street in Easley, South Carolina, as the ""Private First Class Barrett Lyle Austin Post Office Building"".","Duncan, Jeff [Rep.-R-SC-3]",Republican,01/04/2021,Became Public Law No: 117-193.,10/11/2022,"<p> This bill designates the facility of the United States Postal Service located at 810 South Pendleton Street in Easley, South Carolina, as the Private First Class Barrett Lyle Austin Post Office Building.</p>",
H.R. 55,https://www.congress.gov/bill/117th-congress/house-bill/55,117th Congress (2021-2022),Emmett Till Antilynching Act,"Rush, Bobby L. [Rep.-D-IL-1]",Democratic,01/04/2021,Became Public Law No: 117-107.,03/29/2022,"<p><strong>Emmett Till Antilynching Act</strong></p> <p>This bill makes lynching a federal hate crime offense.</p> <p>Specifically, the bill imposes criminal penalties&#8212;a fine, a prison term of up to 30 years, or both&#8212;on an individual who conspires to commit a hate crime offense that results in death or serious bodily injury or that includes kidnapping or an attempt to kidnap, aggravated sexual abuse or an attempt to commit aggravated sexual abuse, or an attempt to kill.</p>",
H.R. 49,https://www.congress.gov/bill/117th-congress/house-bill/49,117th Congress (2021-2022),"To designate the National Pulse Memorial located at 1912 South Orange Avenue, Orlando, Florida, 32806, and for other purposes.","Soto, Darren [Rep.-D-FL-9]",Democratic,01/04/2021,Became Public Law No: 117-20.,06/25/2021,"<p>This bill redesignates the Pulse Memorial located at 1912 South Orange Avenue in Orlando, Florida, as the National Pulse Memorial.</p>",
H.R. 26,https://www.congress.gov/bill/117th-congress/house-bill/26,117th Congress (2021-2022),Construction Consensus Procurement Improvement Act of 2021,"Comer, James [Rep.-R-KY-1]",Republican,01/04/2021,Became Public Law No: 117-28.,07/26/2021,"<p><b>Construction Consensus Procurement Improvement Act of 2021</b></p> <p>This bill prohibits the federal government from using reverse auctions for complex, specialized, or substantial design and construction services. Reverse auctions allow the sellers to bid down the price of a project and typically result in the contractor with the lowest bid winning the contract.</p> <p>The Federal Acquisition Regulatory Council must define <i>complex, specialized, or substantial design and construction services</i>.</p> <p>The General Services Administration shall report to specified congressional committees on this bill's effectiveness.</p>",
H.J.Res. 100,https://www.congress.gov/bill/117th-congress/house-joint-resolution/100,117th Congress (2021-2022),To provide for a resolution with respect to the unresolved disputes between certain railroads represented by the National Carriers' Conference Committee of the National Railway Labor Conference and certain of their employees.,"Payne, Donald M., Jr. [Rep.-D-NJ-10]",Democratic,11/29/2022,Became Public Law No: 117-216.,12/02/2022," <p>This joint resolution requires the parties to the disputes between certain railroads and labor organizations to accept the most recent tentative agreements, side letters, and local carrier agreements entered into by the parties that have not been ratified before the date of enactment of this joint resolution.</p>",
