Legislation Number,URL,Congress,Title,Sponsor,Party of Sponsor,Date of Introduction,Latest Summary
H.R. 6431,https://www.congress.gov/bill/112th-congress/house-bill/6431,112th Congress (2011-2012),"To provide flexibility with respect to United States support for assistance provided by international financial institutions for Burma, and for other purposes.","Royce, Edward R. [Rep.-R-CA-40]",Republican,09/19/2012,"<b> <p />(This measure has not been amended since it was introduced. The expanded summary of the House passed version is repeated here.)</b> <p />Authorizes the Secretary of the Treasury, upon a determination by the President that it is in the U.S. national interest to support assistance for Burma, to instruct the U.S. Executive Director at any international financial institution to vote in favor of assistance for Burma. <p>Directs the President to provide Congress with written notice of any such determination.</p> <p>Requires that prior to the President making such determination the Secretary of State and the Secretary of the Treasury shall consult with Congress regarding assistance for Burma by an international financial institution, and the national interests served by such assistance. </p> Directs the Secretary of the Treasury to instruct the U.S. Executive Director at each international financial institution to not vote in favor of assistance to Burma until at least 15 days have elapsed from the date on which the President has provided Congress with the required notice."
H.R. 6379,https://www.congress.gov/bill/112th-congress/house-bill/6379,112th Congress (2011-2012),"To designate the facility of the United States Postal Service located at 6239 Savannah Highway in Ravenel, South Carolina, as the ""Representative Curtis B. Inabinett, Sr. Post Office"".","Clyburn, James E. [Rep.-D-SC-6]",Democratic,09/12/2012,"<p><b>(This measure has not been amended since it was introduced. The summary of that version is repeated here.)</b></p> <p>Designates the facility of the United States Postal Service located at 6239 Savannah Highway in Ravenel, South Carolina, as the ""Representative Curtis B. Inabinett, Sr. Post Office.""</p>"
H.R. 6375,https://www.congress.gov/bill/112th-congress/house-bill/6375,112th Congress (2011-2012),VA Major Construction Authorization and Expiring Authorities Extension Act of 2012,"Miller, Jeff [Rep.-R-FL-1]",Republican,09/11/2012,"<p><b>(This measure has not been amended since it was passed by the House on September 19, 2012. The summary of that version is repeated here.)</b> </p> <p>VA Major Construction Authorization and Expiring Authorities Extension Act of 2012 - <b>Title I: Construction Authorizations </b>- Authorizes the Secretary of Veterans Affairs (VA) to carry out major medical facility projects (projects) in FY2013 at VA medical centers in: (1) Seattle, Washington; (2) Dallas, Texas; and (3) Miami, Florida.</p> <p>Authorizes appropriations for such projects. Provides project funding limitations.</p> <p><b>Title II: Extensions of Certain Expiring Authorities </b>- Extends through FY2013 VA default procedures with respect to guaranteed loans to veterans.</p> <p>Extends through 2013 VA authority: (1) to operate a regional office in the Republic of the Philippines; (2) to provide treatment, rehabilitation, and related services for seriously mentally ill and homeless veterans; (3) to provide expanded services and housing assistance to homeless veterans; (4) for the Advisory Committee on Homeless Veterans; and (5) to use contract physicians to perform VA medical disability examinations.</p>"
H.R. 6364,https://www.congress.gov/bill/112th-congress/house-bill/6364,112th Congress (2011-2012),World War I Centennial Commission Act,"Poe, Ted [Rep.-R-TX-2]",Republican,09/10/2012,"<p><b>(This measure has not been amended since it was passed by the Senate on December 21, 2012. The summary of that version is repeated here.)</b> </p> <p>World War I Centennial Commission Act - Establishes the World War I Centennial Commission to: (1) plan, develop, and execute programs, projects, and activities to commemorate the centennial of World War I; (2) encourage private organizations and state and local governments to organize and participate in such activities; (3) facilitate and coordinate such activities throughout the United States; (4) serve as a clearinghouse for the collection and dissemination of information about centennial events and plans; and (5) develop recommendations for Congress and the President for commemorating the centennial of World War I.</p> <p>Prohibits the obligation of federal funds to carry out this Act.</p>"
H.R. 6336,https://www.congress.gov/bill/112th-congress/house-bill/6336,112th Congress (2011-2012),To direct the Joint Committee on the Library to accept a statue depicting Frederick Douglass from the District of Columbia and to provide for the permanent display of the statue in Emancipation Hall of the United States Capitol.,"Lungren, Daniel E. [Rep.-R-CA-3]",Republican,08/02/2012,"<p><b>(This measure has not been amended since it was passed by the House on September 10, 2012. The summary of that version is repeated here.)</b> </p> <p>Requires the Joint Committee on the Library to accept from the District of Columbia the donation of a statue depicting Frederick Douglass, subject to the terms and conditions that the Joint Committee considers appropriate.</p> <p>Requires the Joint Committee to place the statue in a suitable permanent location in Emancipation Hall of&nbsp;the U.S. Capitol. </p>"
H.R. 6328,https://www.congress.gov/bill/112th-congress/house-bill/6328,112th Congress (2011-2012),Clothe a Homeless Hero Act,"Hochul, Kathleen C. [Rep.-D-NY-26]",Democratic,08/02/2012,"<p><b>(This measure has not been amended since it was passed by the Senate on December 11, 2012. The summary of that version is repeated here.)</b></p> <p>Clothe a Homeless Hero Act - Directs the Assistant Secretary of Homeland Security (Transportation Security Administration [TSA] ) to transfer unclaimed clothing recovered at airport security checkpoints to the local airport authority or other local authorities for donation to charity, including local veterans organizations or other local charitable organizations for distribution to homeless or needy veterans and their families. Authorizes the Assistant Secretary to enter into agreements with airport authorities for disposing of such clothing.</p>"
H.R. 6260,https://www.congress.gov/bill/112th-congress/house-bill/6260,112th Congress (2011-2012),"To designate the facility of the United States Postal Service located at 211 Hope Street in Mountain View, California, as the ""Lieutenant Kenneth M. Ballard Memorial Post Office"".","Eshoo, Anna G. [Rep.-D-CA-14]",Democratic,08/01/2012,"<p><b>(This measure has not been amended since it was introduced. The summary of that version is repeated here.)</b></p> <p>Designates the facility of the United States Postal Service located at 211 Hope Street in Mountain View, California, as the ""Lieutenant Kenneth M. Ballard Memorial Post Office.""</p>"
H.R. 6223,https://www.congress.gov/bill/112th-congress/house-bill/6223,112th Congress (2011-2012),"To amend section 1059(e) of the National Defense Authorization Act for Fiscal Year 2006 to clarify that a period of employment abroad by the Chief of Mission or United States Armed Forces as a translator, interpreter, or in a security-related position in an executive or managerial capacity is to be counted as a period of residence and physical presence in the United States for purposes of qualifying for naturalization, and for other purposes.","Dent, Charles W. [Rep.-R-PA-15]",Republican,07/26/2012,"<p><b>(This measure has not been amended since it was passed by the House on December 5, 2012. The summary of that version is repeated here.)</b></p> <p>Amends the National Defense Authorization Act for Fiscal Year 2006 to consider the period of time that a person was employed by the Chief of Mission or the U.S. Armed Forces, under contract with the Chief of Mission or the U.S. Armed Forces, or was employed by a firm or corporation under contract with the Chief of Mission or the U.S. Armed Forces as a translator, interpreter, or in an executive or managerial level security position as a period of U.S. residence and physical presence for naturalization purposes if at least a portion of such period was spent abroad working directly in such capacity for the Chief of Mission or U.S. Armed Forces.</p> <p>Makes such amendment effective as if included in the enactment of a specified section of the National Defense Authorization Act for Fiscal Year 2006.</p>"
H.R. 6215,https://www.congress.gov/bill/112th-congress/house-bill/6215,112th Congress (2011-2012),To amend the Trademark Act of 1946 to correct an error in the provisions relating to remedies for dilution.,"Smith, Lamar [Rep.-R-TX-21]",Republican,07/26/2012,"<p><b>(This measure has not been amended since it was passed by the House on September 11, 2012. The summary of that version is repeated here.)</b> </p> <p>Amends the Trademark Act of 1946 to specify that ownership of a valid federal registration of a mark is a complete bar to an action with respect to the mark that: (1) is brought by another person under the common law or a statute of a state; and (2) seeks to prevent dilution (by blurring or by tarnishment) or asserts any claim of actual or likely damage or harm to the distinctiveness or reputation of a mark, label, or form of advertisement. (Removes any such federal-registration defense with respect to dilution claims under federal law and specifies that such a defense is only available in response to dilution claims under state law.)</p>"
H.R. 6189,https://www.congress.gov/bill/112th-congress/house-bill/6189,112th Congress (2011-2012),Reporting Efficiency Improvement Act,"Conyers, John, Jr. [Rep.-D-MI-14]",Democratic,07/25/2012,"<p><b>(This measure has not been amended since it was passed by the House on September 11, 2012. The summary of that version is repeated here.)</b></p> <p>Reporting Efficiency Improvement Act - Amends the Omnibus Crime Control and Safe Streets Act of 1968 to repeal a requirement that the Attorney General submit a report to Congress on grants to state and local governments for a program or project to develop or improve the capability to analyze deoxyribonucleic acid (DNA).</p> <p>Amends the Police Corps Act to repeal the requirement for the Director of the Office of the Police Corps and Law Enforcement Education to submit an annual report on the Police Corps program.</p>"
H.R. 6156,https://www.congress.gov/bill/112th-congress/house-bill/6156,112th Congress (2011-2012),Russia and Moldova Jackson-Vanik Repeal and Sergei Magnitsky Rule of Law Accountability Act of 2012,"Camp, Dave [Rep.-R-MI-4]",Republican,07/19/2012,"<p><b>(This measure has not been amended since it was passed by the House on November 16, 2012. The summary of that version is repeated here.)</b></p> <p>Russia and Moldova Jackson-Vanik Repeal and Sergei Magnitsky Rule of Law Accountability Act of 2012 - <b>Title I: Permanent Normal Trade Relations for the Russian Federation </b>- (Sec. 102) Authorizes the President to: (1) determine that title IV (Jackson-Vanik Amendment) of the Trade Act of 1974 (denying nondiscriminatory treatment [normal trade relations treatment] to non-market countries that restrict freedom of emigration and other human rights) should no longer apply to the Russian Federation, and (2) extend permanent normal trade relations treatment to the products of the Russian Federation upon its accession to the World Trade Organization (WTO).</p> <p><b><b>Title II: Trade Enforcement Measures Relating to the Russian Federation </b>- </b>(Sec. 201) Directs the U.S. Trade Representative (USTR) to assess annually to Congress: (1) the extent to which the Russian Federation is implementing the WTO Agreement and certain related agreements, and (2) the progress made by the Russian Federation in acceding to and implementing the Ministerial Declaration on Trade in Information Technology Products of the WTO (Information Technology Agreement) and the Agreement on Government Procurement of the Uruguay Round Agreements Act. Requires the USTR also to include in the report a plan of action to encourage the Russian Federation to improve its implementation of, or increase its progress in acceding to, the agreement when appropriate.</p> <p>Directs the USTR to report annually to Congress on enforcement actions taken by the USTR against the Russian Federation to ensure full compliance of its obligations as a WTO member.</p> <p>(Sec. 202) Directs the USTR and the Secretary of State to report jointly and annually to Congress on measures they have taken and the results achieved in promoting the rule of law in the Russian Federation to support U.S. investment.</p> <p>Directs the Secretary of Commerce to establish a phone hotline and secure website accessible both within and outside of the Russian Federation to allow U.S. entities to report instances of bribery and to request U.S. assistance with respect to corruption in the Russian Federation. Requires the Secretary to report annually to Congress on such bribery and corruption.</p> <p>(Sec. 203) Amends the Trade Act of 1974 to direct the USTR to include in the annual National Trade Estimates report on barriers to access of foreign markets an identification and analysis of any laws, policies, or practices of the Russian Federation that deny fair and equitable market access to U.S. digital trade.</p> <p>(Sec. 204) Requires the USTR to continue to pursue the reduction of barriers to trade imposed on U.S. exports by the Russian Federation through efforts to: (1) negotiate a bilateral agreement under which the Russian Federation accepts U.S. sanitary and phytosanitary measures as equivalent to their measures, and (2) obtain the adoption by the Russian Federation of an action plan for providing greater protections for intellectual property rights than those required by the Agreement on Trade-Related Aspects of Intellectual Property Rights of the Uruguay Round Agreement Act.</p> <p><b>Title III: Permanent Normal Trade Relations for Moldova - </b>(Sec. 302) Authorizes the President to: (1) determine that the Jackson-Vanik Amendment should no longer apply to Moldova, and (2) extend permanent normal trade relations treatment to the products of Moldova.</p> <p><b>Title IV: Sergei Magnitsky Rule of Law Accountability Act of 2012 - </b>Sergei Magnitsky Rule of Law Accountability Act of 2012 - (Sec. 402) Expresses the sense of Congress that: (1) the United States should continue to strongly support, and provide assistance to, the efforts of the Russian people to establish a vibrant democratic political system that respects individual liberties and human rights, including by enhancing the provision of objective information through all relevant media, such as Radio Liberty and the Internet; and (2) the Russian government's suppression of dissent and political opposition, the limitations it has imposed on civil society and independent media, and the deterioration of economic and political freedom inside Russia are of profound concern to the U.S. government and to the American people.</p> <p>(Sec. 404) Directs the President to report to Congress, publish, and update a list of each person who the President determines: (1) is responsible for, or benefitted financially from, the detention, abuse, or death of Sergei Magnitsky, participated in related liability concealment efforts, or was involved in the criminal conspiracy uncovered by Sergei Magnitsky; or (2) is responsible for extrajudicial killings, torture, or other human rights violations committed against individuals seeking to promote human rights or to expose illegal activity carried out by officials of the government of the Russian Federation. Requires the President to consider information provided by the chairperson and ranking member of each of the appropriate congressional committees and credible data obtained by other countries and nongovernmental organizations, including those inside Russia, that monitor such government's human rights abuses.</p> <p>(Sec. 405) Makes an alien on such list ineligible to enter or be admitted to the United States. Revokes any visa issued for such person. </p> <p>Authorizes the Secretary of State to waive such prohibition if it is in the U.S. national security interest or if it is necessary for compliance with the Agreement between the United Nations (U.N.) and the United States regarding the U.N. Headquarters. Requires congressional notification of any such waiver.</p> <p>(Sec. 406) Directs the Secretary of the Treasury to freeze and prohibit U.S. property transactions of an individual who is on the list if such property and property interests are in the United States, come within the United States, or are in or come within the control of a U.S. person or entity. Authorizes the Secretary of the Treasury to waive such actions if in the U.S. national security interest. Requires congressional notification of any such waiver. Subjects persons that violate such transaction restrictions to the penalties set forth in the International Emergency Economic Powers Act for commission of an unlawful act described in such Act.</p> <p>(Sec. 407) Directs the Secretary of State and the Secretary of the Treasury to report annually to Congress regarding actions taken pursuant to this Act.</p>"
H.R. 6131,https://www.congress.gov/bill/112th-congress/house-bill/6131,112th Congress (2011-2012),"To extend the Undertaking Spam, Spyware, And Fraud Enforcement With Enforcers beyond Borders Act of 2006, and for other purposes.","Bono Mack, Mary [Rep.-R-CA-45]",Republican,07/17/2012,"<p><b>(This measure has not been amended since it was introduced. The summary of that version is repeated here.)</b></p> <p>Extends, until September 30, 2020, the repeal date of the Undertaking Spam, Spyware, And Fraud Enforcement With Enforcers beyond Borders Act of 2006 (U.S. SAFE WEB Act of 2006).</p>"
