Legislation Number,URL,Congress,Title,Sponsor,Party of Sponsor,Date of Introduction,Latest Action,Latest Action Date,Latest Summary
H.R. 6930,https://www.congress.gov/bill/115th-congress/house-bill/6930,115th Congress (2017-2018),"To designate the facility of the United States Postal Service located at 10 Miller Street in Plattsburgh, New York, as the ""Ross Bouyea Post Office Building"".","Stefanik, Elise M. [Rep.-R-NY-21]",Republican,09/27/2018,Became Public Law No: 115-384.,12/21/2018,"<p>Designates the facility of the United States Postal Service located at 10 Miller Street in Plattsburgh, New York, as the ""Ross Bouyea Post Office Building.""</p>"
H.R. 6897,https://www.congress.gov/bill/115th-congress/house-bill/6897,115th Congress (2017-2018),"Airport and Airway Extension Act of 2018, Part II","Shuster, Bill [Rep.-R-PA-9]",Republican,09/26/2018,Became Public Law No: 115-250.,09/29/2018,"<b><p /><STRONG>Airport and Airway Extension Act of 2018, Part II</STRONG> </b> <p>(Sec. 2) This bill extends: (1) airport planning and development and noise compatibility planning and programs at increased levels until October 7, 2018; (2) various expiring aviation authorities, including those under the Vision 100-Century of Aviation Reauthorization Act and the FAA Modernization and Reform Act of 2012, through such date; (3) the expenditure authority of the Airport and Airway Trust Fund through October 8, 2018, and (4) excise taxes for such fund through such date. </p>"
H.R. 6896,https://www.congress.gov/bill/115th-congress/house-bill/6896,115th Congress (2017-2018),United States Parole Commission Extension Act of 2018,"Sensenbrenner, F. James, Jr. [Rep.-R-WI-5]",Republican,09/26/2018,Became Public Law No: 115-274.,10/31/2018,"<p><b>United States Parole Commission Extension Act of 2018</b></p> <p>(Sec. 2) This bill extends for two years the authority and functions of the U.S. Parole Commission, including the requirement to submit data to Congress on each type of case under its jurisdiction.</p> <p> (Sec. 4) Additionally, the bill amends the Prison Rape Elimination Act of 2003 to modify the certification requirements for auditors who monitor compliance with national prison rape standards.</p>"
H.R. 6893,https://www.congress.gov/bill/115th-congress/house-bill/6893,115th Congress (2017-2018),Secret Service Overtime Pay Extension Act,"Russell, Steve [Rep.-R-OK-5]",Republican,09/25/2018,Became Public Law No: 115-383.,12/21/2018,"<p><b>Secret Service Overtime Pay Extension Act</b></p> <p>(Sec. 2) This bill amends the Overtime Pay for Protective Services Act of 2016 to extend through 2020, subject to specified limitations, the exemption of U.S. Secret Service officers, employees, and agents who perform protective services from the limitation on premium pay otherwise applicable to federal employees. </p>"
H.R. 6870,https://www.congress.gov/bill/115th-congress/house-bill/6870,115th Congress (2017-2018),To rename the Stop Trading on Congressional Knowledge Act of 2012 in honor of Representative Louise McIntosh Slaughter.,"Tonko, Paul [Rep.-D-NY-20]",Democratic,09/25/2018,Became Public Law No: 115-277.,11/03/2018,<p>(Sec. 1) This bill changes the title of the Stop Trading on Congressional Knowledge Act of 2012 to the &quot;Representative Louise McIntosh Slaughter Stop Trading on Congressional Knowledge Act.&quot;</p>
H.R. 6831,https://www.congress.gov/bill/115th-congress/house-bill/6831,115th Congress (2017-2018),"To designate the facility of the United States Postal Service located at 35 West Main Street in Frisco, Colorado, as the ""Patrick E. Mahany, Jr., Post Office Building"".","Polis, Jared [Rep.-D-CO-2]",Democratic,09/17/2018,Became Public Law No: 115-382.,12/21/2018,"<p>Designates the facility of the United States Postal Service located at 35 West Main Street in Frisco, Colorado, as the ""Patrick E. Mahany, Jr., Post Office Building.""</p>"
H.R. 6780,https://www.congress.gov/bill/115th-congress/house-bill/6780,115th Congress (2017-2018),"To designate the facility of the United States Postal Service located at 7521 Paula Drive in Tampa, Florida, as the ""Major Andreas O'Keeffe Post Office Building"".","Castor, Kathy [Rep.-D-FL-14]",Democratic,09/12/2018,Became Public Law No: 115-381.,12/21/2018,"<p>Designates the facility of the United States Postal Service located at 7521 Paula Drive in Tampa, Florida, as the ""Major Andreas O'Keeffe Post Office Building.""</p>"
H.R. 6758,https://www.congress.gov/bill/115th-congress/house-bill/6758,115th Congress (2017-2018),SUCCESS Act,"Chabot, Steve [Rep.-R-OH-1]",Republican,09/10/2018,Became Public Law No: 115-273.,10/31/2018,"<p><b>Study of Underrepresented Classes Chasing Engineering and Science Success Act of 2018 or the SUCCESS Act</b></p> <p>(Sec. 3) This bill directs the U.S. Patent and Trademark Office (USPTO) to study and report to Congress on the number of patents applied for and obtained: (1) by women, minorities, and veterans; and (2) by small businesses owned by women, minorities, and veterans.</p> <p>The USPTO must provide legislative recommendations to increase the number of women, minorities, and veterans who participate in entrepreneurship activities and apply for patents.</p> <p>(Sec. 4) Additionally, the bill amends the Leahy-Smith America Invents Act to extend for eight years the authority of the USPTO to set and adjust patent fees.</p>"
H.R. 6655,https://www.congress.gov/bill/115th-congress/house-bill/6655,115th Congress (2017-2018),"To designate the facility of the United States Postal Service located at 44160 State Highway 299 East Suite 1 in McArthur, California, as the ""Janet Lucille Oilar Post Office"".","LaMalfa, Doug [Rep.-R-CA-1]",Republican,08/03/2018,Became Public Law No: 115-380.,12/21/2018,"<p>Designates the facility of the United States Postal Service located at 44160 State Highway 299 East Suite 1 in McArthur, California, as the ""Janet Lucille Oilar Post Office.""</p>"
H.R. 6651,https://www.congress.gov/bill/115th-congress/house-bill/6651,115th Congress (2017-2018),PEPFAR Extension Act of 2018,"Smith, Christopher H. [Rep.-R-NJ-4]",Republican,08/03/2018,Became Public Law No: 115-305.,12/11/2018,"<p><b>PEPFAR Extension Act of 2018</b></p> <p>This bill amends the United States Leadership Against HIV/AIDS, Tuberculosis, and Malaria Act of 2003 to extend certain provisions related to the U.S. President's Emergency Plan for AIDS Relief (PEPFAR), a government initiative addressing the global HIV/AIDS epidemic. Specifically, the bill extends through FY2023&nbsp;provisions that: </p> <ul> <li>require the Inspectors General of the Department of State and the U.S. Agency for Global Media, jointly with the Department of Health and Human Services and the U.S. Agency for International Development,&nbsp;to coordinate and conduct oversight of PEPFAR programs,</li> <li>limit&nbsp;U.S. contributions to the Global Fund to Fight AIDS, Tuberculosis and Malaria to 33% of funds contributed from all sources,</li> <li>require that certain&nbsp;fund contributions be withheld under specified circumstances, such as if funds were previously used to assist a country that has repeatedly supported acts of international terrorism, and </li> <li>require that more than half of the PEPFAR budget be allocated&nbsp;for specified&nbsp;HIV/AIDS treatment and care. </li></ul> <p>The bill also extends through FY2024 annual reporting requirements relating to HIV/AIDS treatment providers and costs.</p>"
H.R. 6628,https://www.congress.gov/bill/115th-congress/house-bill/6628,115th Congress (2017-2018),"To designate the facility of the United States Postal Service located at 4301 Northeast 4th Street in Renton, Washington, as the ""James Marshall 'Jimi' Hendrix Post Office Building"".","Smith, Adam [Rep.-D-WA-9]",Democratic,07/26/2018,Became Public Law No: 115-379.,12/21/2018,"<p>Designates the facility of the United States Postal Service located at 4301 Northeast 4th Street in Renton, Washington, as the ""James Marshall 'Jimi' Hendrix Post Office Building.""</p>"
H.R. 6621,https://www.congress.gov/bill/115th-congress/house-bill/6621,115th Congress (2017-2018),"To designate the facility of the United States Postal Service located at 530 East Main Street in Johnson City, Tennessee, as the ""Major Homer L. Pease Post Office"".","Roe, David P. [Rep.-R-TN-1]",Republican,07/26/2018,Became Public Law No: 115-378.,12/21/2018,"<p>Designates the facility of the United States Postal Service located at 530 East Main Street in Johnson City, Tennessee, as the ""Major Homer L. Pease Post Office.""</p>"
H.R. 6615,https://www.congress.gov/bill/115th-congress/house-bill/6615,115th Congress (2017-2018),Traumatic Brain Injury Program Reauthorization Act of 2018,"Pascrell, Bill, Jr. [Rep.-D-NJ-9]",Democratic,07/26/2018,Became Public Law No: 115-377.,12/21/2018,"<p><b>Traumatic Brain Injury Program Reauthorization Act of 2018</b></p> <p>(Sec. 2) This bill amends the Public Health Service Act to reauthorize for FY2020-FY2024 several programs relating to traumatic brain injuries, including the Centers for Disease Control and Prevention (CDC) grant program for state surveillance systems that monitor traumatic brain injuries. </p> <p>The bill authorizes the CDC to collect and analyze data regarding the national prevalence and incidence of concussions. Additionally, the bill repeals outdated provisions regarding a CDC traumatic brain injury study.</p>"
H.R. 6602,https://www.congress.gov/bill/115th-congress/house-bill/6602,115th Congress (2017-2018),"To reauthorize the New Jersey Coastal Heritage Trail Route, and for other purposes.","LoBiondo, Frank A. [Rep.-R-NJ-2]",Republican,07/26/2018,Became Public Law No: 115-431.,01/10/2019,<p>This bill reauthorizes the New Jersey Coastal Heritage Trail Route through FY2025. </p>
H.R. 6591,https://www.congress.gov/bill/115th-congress/house-bill/6591,115th Congress (2017-2018),"To designate the facility of the United States Postal Service located at 501 South Kirkman Road in Orlando, Florida, as the ""Napoleon 'Nap' Ford Post Office Building"".","Demings, Val Butler [Rep.-D-FL-10]",Democratic,07/26/2018,Became Public Law No: 115-376.,12/21/2018,"<p>Designates the facility of the United States Postal Service located at 501 South Kirkman Road in Orlando, Florida, as the ""Napoleon 'Nap' Ford Post Office Building.""</p>"
H.R. 6513,https://www.congress.gov/bill/115th-congress/house-bill/6513,115th Congress (2017-2018),"To designate the facility of the United States Postal Service located at 1110 West Market Street in Athens, Alabama, as the ""Judge James E. Horton, Jr. Post Office Building"".","Brooks, Mo [Rep.-R-AL-5]",Republican,07/25/2018,Became Public Law No: 115-375.,12/21/2018,"<p>Designates the facility of the United States Postal Service located at 1110 West Market Street in Athens, Alabama, as the ""Judge James E. Horton, Jr. Post Office Building.""</p>"
H.R. 6428,https://www.congress.gov/bill/115th-congress/house-bill/6428,115th Congress (2017-2018),Frank Leone Post Office Act,"Gottheimer, Josh [Rep.-D-NJ-5]",Democratic,07/18/2018,Became Public Law No: 115-374.,12/21/2018,"<p><b>Frank Leone Post Office Act</b></p> <p>Designates the facility of the United States Postal Service located at 332 Ramapo Valley Road in Oakland, New Jersey, as the ""Frank Leone Post Office.""</p>"
H.R. 6414,https://www.congress.gov/bill/115th-congress/house-bill/6414,115th Congress (2017-2018),"To amend title 23, United States Code, to extend the deadline for promulgation of regulations under the tribal transportation self-governance program.","DeFazio, Peter A. [Rep.-D-OR-4]",Democratic,07/18/2018,Became Public Law No: 115-235.,08/14/2018,"<p>This bill extends: (1) from 21 to 42 months after the enactment of the Fixing America's Surface Transportation Act or the FAST Act (i.e., December 4, 2015), the authority to publish proposed regulations in the Federal Register to carry out the tribal transportation self-governance program; and (2) from 30 to 48 months after such date, the authority to promulgate regulations for such program. </p>"
H.R. 6405,https://www.congress.gov/bill/115th-congress/house-bill/6405,115th Congress (2017-2018),"To designate the facility of the United States Postal Service located at 2801 Mitchell Road in Ceres, California, as the ""Lance Corporal Juana Navarro Arellano Post Office Building"".","Denham, Jeff [Rep.-R-CA-10]",Republican,07/17/2018,Became Public Law No: 115-373.,12/21/2018,"<p>Designates the facility of the United States Postal Service located at 2801 Mitchell Road in Ceres, California, as the ""Lance Corporal Juana Navarro Arellano Post Office Building.""</p>"
